run_timestamp,experiment,phase,method,INPUT_LEN,input_len,frac_target,n_target,rep_idx,seed,metric_mae,metric_mse,metric_rmse,target_region,source_region,TARGET_COL,HORIZON,STRIDE,n_features,target_station_ids,delta_pct,note,use_target_task_loss,n_repeats,arima_mae,arima_mse,vanilla_mae_mean,vanilla_mae_std,vanilla_mse_mean,vanilla_mse_std,dann_mae_mean,dann_mae_std,dann_mse_mean,dann_mse_std,delta_mae_mean,delta_mse_mean,wilcoxon_p_mae,wilcoxon_p_mse
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,13.0,2039845771.0,1.1765782833099365,2.1724162101745605,1.473911873272809,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,14.0,543097096.0,1.4668043851852417,3.608989953994751,1.8997341798248384,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,14.0,543097096.0,1.1720705032348633,2.194981575012207,1.4815470208576598,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,15.0,1817269303.0,1.438897967338562,3.5030148029327393,1.8716342599270668,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,15.0,1817269303.0,1.322475790977478,2.9643306732177734,1.7217231697394833,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,16.0,2142118667.0,1.4901584386825562,3.7217371463775635,1.9291804338572283,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,16.0,2142118667.0,1.298647165298462,2.904001474380493,1.7041131049259886,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,17.0,1309961120.0,1.4554142951965332,3.545443296432495,1.882934756286711,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,17.0,1309961120.0,1.2226494550704956,2.476515293121338,1.5736947903330358,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,18.0,1163607877.0,1.5807204246520996,4.138410568237305,2.034308375895185,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,18.0,1163607877.0,1.2633119821548462,2.6729378700256348,1.634912190310426,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,19.0,1771975911.0,1.47486412525177,3.639495372772217,1.9077461499822812,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,19.0,1771975911.0,1.3263232707977295,3.0216071605682373,1.7382770666865042,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,20.0,988314753.0,1.4553563594818115,3.5674853324890137,1.8887787939536524,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,20.0,988314753.0,1.211178183555603,2.4450838565826416,1.5636763912595988,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,21.0,254670102.0,1.4723312854766846,3.575735330581665,1.890961483103679,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,21.0,254670102.0,1.1744964122772217,2.2326526641845703,1.4942063659965348,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,22.0,135801681.0,1.4409092664718628,3.515998363494873,1.8750995609553305,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,22.0,135801681.0,1.296951413154602,2.8581888675689697,1.6906178951995539,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,23.0,1960364814.0,1.5430995225906372,3.9407827854156494,1.985140495132687,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,23.0,1960364814.0,1.236464500427246,2.467226028442383,1.5707405987120797,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,24.0,1332894585.0,1.4349883794784546,3.4791221618652344,1.8652405104611132,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,24.0,1332894585.0,1.224202036857605,2.41843843460083,1.5551329314887619,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,25.0,83676398.0,1.4431178569793701,3.5098540782928467,1.873460455492148,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,25.0,83676398.0,1.189359188079834,2.2880234718322754,1.5126213907757207,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,26.0,221177175.0,1.4301447868347168,3.421231985092163,1.8496572615195939,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,26.0,221177175.0,1.2672754526138306,2.7713823318481445,1.664746927267969,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,27.0,903766555.0,1.4283483028411865,3.4253451824188232,1.8507688084736091,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,27.0,903766555.0,1.2738566398620605,2.6094255447387695,1.6153716429165053,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,28.0,305878140.0,1.4557580947875977,3.519336223602295,1.8759893985847294,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,28.0,305878140.0,1.219966173171997,2.499115228652954,1.5808590160583436,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,29.0,957981506.0,1.4969004392623901,3.7472779750823975,1.9357887217055474,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,29.0,957981506.0,1.1508026123046875,2.236954927444458,1.4956453214062677,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
